,jlinalg.csv,arianne.csv,playerstage.csv,knowledge.csv,massiv.csv,ultimairis.csv
arianne.csv,0.51,0.98,0.53,0.49,0.81,0.57
jlinalg.csv,0.99,0.54,0.5,0.53,0.5,0.47
knowledge.csv,0.27,0.48,0.09,1.0,0.45,0.21
massiv.csv,0.02,0.0,0.0,0.0,1.0,0.0
playerstage.csv,0.35,0.47,0.97,0.58,0.53,0.32
ultimairis.csv,0.0,0.47,0.3,0.54,0.59,0.89
