,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.07,0.15,0.3,0.17,0.35,0.21,0.99,0.31,0.42,0.37,0.41
bscwweasel.csv,0.0,0.11,0.22,0.92,0.28,0.18,0.07,0.24,0.19,0.23,0.09
capcode.csv,0.02,0.13,0.24,0.16,0.0,0.92,0.5,0.41,0.22,0.32,0.2
lamp.csv,0.02,0.96,0.21,0.22,0.47,0.21,0.1,0.03,0.44,0.38,0.24
nodal.csv,0.08,0.23,0.36,0.17,0.5,0.1,0.1,0.25,0.93,0.44,0.23
pydev.csv,0.13,0.27,0.44,0.28,0.47,0.21,0.22,0.3,0.26,0.96,0.56
retromenu.csv,0.02,0.16,0.41,0.21,0.98,0.23,0.18,0.2,0.32,0.45,0.11
smbopensoft.csv,0.97,0.18,0.32,0.36,0.5,0.19,0.55,0.2,0.34,0.36,0.46
stuproa-cims.csv,0.66,0.21,0.35,0.22,0.5,0.23,0.83,0.97,0.4,0.52,0.8
thout.csv,0.1,0.1,0.96,0.15,0.43,0.24,0.7,0.26,0.36,0.51,0.54
uface.csv,0.66,0.18,0.35,0.32,0.44,0.29,0.84,0.35,0.38,0.32,1.0
