,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.96,0.74,0.73,0.78,0.73,0.73,0.03,0.74,0.6,0.72,0.84
bscwweasel.csv,1.0,0.87,0.86,0.15,0.81,0.84,0.96,0.84,0.87,0.86,0.95
capcode.csv,0.99,0.78,0.8,0.86,1.02,0.08,0.77,0.65,0.84,0.78,0.89
lamp.csv,0.99,0.07,0.86,0.85,0.67,0.84,0.94,0.98,0.66,0.73,0.86
nodal.csv,0.96,0.73,0.69,0.82,0.55,0.9,0.95,0.8,0.13,0.63,0.87
pydev.csv,0.94,0.72,0.56,0.6,0.8,0.74,0.89,0.75,0.79,0.08,0.71
retromenu.csv,0.99,0.86,0.67,0.85,0.05,0.72,0.9,0.87,0.78,0.67,0.94
smbopensoft.csv,0.04,0.66,0.68,0.44,0.55,0.76,0.71,0.87,0.72,0.72,0.71
stuproa-cims.csv,0.98,0.74,0.91,0.74,0.93,0.83,0.98,0.05,0.97,0.84,0.64
thout.csv,0.95,0.87,0.07,0.81,0.63,0.68,0.67,0.79,0.69,0.56,0.69
uface.csv,1.0,1.0,0.88,0.5,0.89,0.64,1.0,0.87,0.88,0.93,0.02
