,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.0,0.02,0.09,0.13
repositorium.csv,0.41,0.0,0.22,0.86
simplewebservices.csv,0.48,0.71,0.16,0.01
xbg.csv,0.13,0.0,0.0,0.16
