,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.0,0.82,0.76,0.84
repositorium.csv,0.51,0.0,0.66,0.87
simplewebservices.csv,0.66,0.73,0.89,0.01
xbg.csv,0.8,0.91,0.12,0.66
