,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,1.0,0.18,0.25,0.17
repositorium.csv,0.71,1.0,0.38,0.86
simplewebservices.csv,0.54,0.82,0.12,0.99
xbg.csv,0.21,0.09,0.88,0.36
