,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,1.0,0.5,0.29,0.47
repositorium.csv,0.47,1.0,0.2,0.42
simplewebservices.csv,0.37,0.13,0.1,0.99
xbg.csv,0.45,1.0,1.0,0.61
