,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.92,0.5,0.83,0.65,0.56,0.76,0.69,1.0,0.62,0.76,0.65,0.34,0.55,0.59,0.44,0.74
elateportal.csv,0.82,0.42,0.75,1.0,0.98,1.0,0.77,0.98,0.97,0.71,0.65,1.0,1.0,1.0,0.99,1.0
gmerlin.csv,0.56,0.22,0.33,0.39,0.26,0.28,0.29,0.35,0.97,0.35,0.28,0.32,0.13,0.3,0.29,0.42
gretl.csv,1.0,0.87,0.67,1.0,0.58,0.72,0.85,0.85,0.66,0.82,0.79,0.39,0.89,0.82,0.79,0.88
illumination.csv,0.18,0.18,0.25,0.28,0.54,0.56,0.49,0.31,0.44,0.88,0.29,0.86,0.09,0.65,0.5,0.44
mpgravity.csv,0.41,0.28,1.0,0.27,0.35,0.36,0.17,0.24,0.38,0.41,0.44,0.82,0.11,0.37,0.42,0.35
nativeclient.csv,0.82,0.61,1.0,0.65,0.31,0.36,0.49,0.49,0.59,0.71,0.7,0.2,0.47,0.76,0.98,0.74
natpad.csv,0.46,0.28,0.08,0.54,0.37,0.64,0.46,0.57,0.56,0.06,0.54,0.2,0.38,0.5,0.52,0.93
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open-ms.csv,0.44,0.47,0.67,0.59,0.73,0.64,0.55,0.39,0.41,0.06,0.94,0.91,0.08,0.73,0.6,0.37
openmsx.csv,0.64,0.91,0.75,0.36,0.67,0.84,0.94,0.56,0.44,0.65,0.75,0.98,0.58,0.56,0.79,0.37
oppna-program-hsatools.csv,0.54,1.0,0.92,0.88,0.96,0.72,0.66,0.98,0.78,1.0,1.0,0.89,0.91,0.84,0.97,1.0
sandiaportals.csv,0.9,0.59,0.75,0.72,0.51,0.76,0.72,0.54,0.75,0.76,0.72,0.11,0.98,0.3,0.67,0.81
sauerbraten.csv,0.9,0.3,0.08,0.6,0.16,0.16,0.22,0.31,0.38,0.41,0.28,0.2,0.58,0.65,0.38,0.79
yarp.csv,0.13,0.32,0.33,0.08,0.23,0.92,0.26,0.24,0.12,0.24,0.34,0.02,0.09,0.05,0.2,0.21
zemljanka.csv,0.97,0.99,1.0,0.97,0.67,1.0,1.0,0.88,0.97,1.0,1.0,1.0,0.98,1.0,0.9,1.0
