,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,2.0
elateportal.csv,6.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,8.0,8.0,24.0,0.0,4.0,0.0,0.0,1.0
gmerlin.csv,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,10.0,0.0,0.0,2.0,0.0,2.0
gretl.csv,3.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,18.0,2.0,2.0,0.0,0.0,0.0
illumination.csv,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,2.0,0.0,0.0,3.0
mpgravity.csv,6.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,8.0,6.0,12.0,1.0,1.0,0.0,5.0,1.0
nativeclient.csv,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
natpad.csv,5.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,7.0,21.0,1.0,3.0,0.0,0.0,0.0
ogre.csv,6.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,8.0,8.0,24.0,3.0,4.0,0.0,0.0,1.0
open-ms.csv,3.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,8.0,7.0,0.0,2.0,2.0,0.0,0.0,1.0
openmsx.csv,4.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,22.0,3.0,4.0,0.0,0.0,1.0
oppna-program-hsatools.csv,2.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,24.0,3.0,2.0,0.0,0.0,1.0
sandiaportals.csv,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,18.0,2.0,0.0,0.0,1.0,3.0
sauerbraten.csv,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
yarp.csv,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,1.0,1.0,0.0,0.0,0.0
zemljanka.csv,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,7.0,8.0,24.0,3.0,4.0,0.0,0.0,1.0
