,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.77,0.63,0.41,0.75,0.71,0.57,0.53,0.99,0.45,0.44,0.33,0.49,0.65,0.74,0.55,0.63
elateportal.csv,0.71,0.56,0.32,0.91,0.99,0.57,0.55,0.85,0.48,0.28,0.29,1.0,0.85,0.98,0.74,0.57
gmerlin.csv,0.67,0.35,0.36,0.54,0.4,0.33,0.33,0.5,0.98,0.33,0.27,0.47,0.22,0.46,0.41,0.49
gretl.csv,0.8,0.87,0.32,1.0,0.72,0.54,0.55,0.83,0.43,0.33,0.32,0.52,0.84,0.89,0.71,0.57
illumination.csv,0.27,0.29,0.17,0.42,0.7,0.47,0.45,0.45,0.39,0.91,0.24,0.92,0.16,0.77,0.53,0.48
mpgravity.csv,0.5,0.41,1.0,0.41,0.51,0.31,0.24,0.34,0.35,0.34,0.33,0.89,0.19,0.53,0.47,0.36
nativeclient.csv,0.78,0.72,0.44,0.76,0.47,0.37,0.51,0.61,0.54,0.35,0.34,0.33,0.6,0.85,0.98,0.63
natpad.csv,0.54,0.41,0.12,0.65,0.54,0.53,0.44,0.67,0.39,0.06,0.33,0.33,0.5,0.66,0.56,0.96
ogre.csv,0.76,0.9,0.37,0.91,1.0,0.57,0.58,0.86,0.49,0.34,0.34,0.94,0.85,0.98,0.74,0.57
open-ms.csv,0.54,0.57,0.27,0.67,0.83,0.44,0.45,0.51,0.38,0.05,0.97,0.91,0.13,0.82,0.59,0.31
openmsx.csv,0.69,0.9,0.31,0.49,0.8,0.58,0.97,0.66,0.33,0.31,0.32,0.93,0.67,0.7,0.68,0.31
oppna-program-hsatools.csv,0.63,1.0,0.35,0.87,0.97,0.49,0.57,0.86,0.45,0.38,0.34,0.89,0.83,0.9,0.73,0.57
sandiaportals.csv,0.74,0.71,0.36,0.81,0.67,0.57,0.54,0.63,0.5,0.34,0.34,0.19,0.99,0.45,0.66,0.54
sauerbraten.csv,0.95,0.45,0.13,0.72,0.28,0.21,0.29,0.45,0.37,0.38,0.28,0.33,0.7,0.78,0.51,0.61
yarp.csv,0.21,0.47,0.24,0.14,0.37,0.96,0.35,0.37,0.21,0.21,0.24,0.04,0.17,0.1,0.31,0.33
zemljanka.csv,0.77,0.9,0.37,0.89,0.8,0.57,0.58,0.84,0.49,0.35,0.34,0.94,0.85,1.0,0.74,0.57
