,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.05,0.7,0.97,0.89,0.77,0.87,0.87,0.7
anaxagora.csv,0.87,0.96,0.76,0.93,0.29,0.9,0.96,0.81
botsnscouts.csv,0.56,0.6,0.65,0.05,0.62,0.44,0.7,0.6
emisview.csv,0.71,0.04,0.9,0.94,0.85,0.92,0.75,0.67
matrex.csv,0.72,0.83,0.82,0.45,0.9,0.04,0.7,0.59
mediaportal.csv,0.92,0.96,0.83,0.89,0.89,0.86,0.63,0.12
mediate.csv,0.58,0.9,0.03,0.5,0.72,0.75,0.75,0.73
ontopia.csv,0.84,0.88,0.69,0.77,0.75,0.63,0.0,0.76
