,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.62,0.03,0.53,0.73,0.52,0.79,0.65,0.52,0.65,0.57,0.41,0.58,0.51,0.74
customwars.csv,0.86,0.87,0.89,1.0,1.0,0.84,0.81,0.75,0.12,0.78,0.6,0.78,0.76,0.62
firebreath.csv,0.75,0.51,0.77,0.59,0.69,0.65,0.03,0.51,0.58,0.68,0.55,0.82,0.53,0.68
gss.csv,0.99,1.0,0.96,0.98,1.0,1.0,0.9,1.0,0.73,0.68,1.0,0.83,0.96,0.11
irplus.csv,0.7,0.76,0.79,0.99,0.6,0.7,0.84,0.82,0.8,0.08,0.88,0.85,0.76,0.81
kwave.csv,0.7,0.65,0.86,0.77,0.8,0.0,0.84,0.59,0.76,0.77,0.63,0.66,0.57,0.66
liferea.csv,0.6,0.57,0.62,0.78,0.08,0.78,0.74,0.53,0.58,0.56,0.52,0.85,0.66,0.62
plearn.csv,0.07,0.66,0.71,0.64,0.63,0.87,0.71,0.72,0.56,0.66,0.59,0.64,0.66,0.54
psrchive.csv,0.81,0.78,1.01,0.0,0.85,0.94,0.92,0.92,0.79,0.84,0.43,0.65,0.78,0.92
qcad2.csv,0.74,0.71,0.88,0.75,0.75,0.72,0.9,0.06,0.6,0.65,0.76,0.7,0.74,0.75
tzod.csv,0.62,0.68,0.0,0.71,0.91,0.65,0.59,0.54,0.67,0.51,0.38,0.79,0.52,0.39
wxcode.csv,0.93,0.97,1.0,0.86,0.92,1.0,0.98,0.98,1.0,1.0,0.14,0.95,0.94,0.93
xinity.csv,0.62,0.85,0.6,0.91,0.75,0.77,0.74,0.8,0.79,0.91,0.77,0.02,0.81,0.7
xmoto.csv,0.58,0.51,0.59,0.66,0.74,0.83,0.63,0.62,0.64,0.51,0.55,0.82,0.06,0.5
