,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.73,1.0,0.7,0.79,0.85,0.44,0.77,0.67,0.82,0.56,1.0,0.61,0.53,0.57
customwars.csv,0.19,0.13,0.11,0.0,0.0,0.25,0.2,0.25,0.88,0.24,0.43,0.32,0.31,0.43
firebreath.csv,0.58,0.59,0.52,0.57,0.62,0.56,0.97,0.62,0.76,0.6,0.71,0.63,0.72,0.53
gss.csv,1.0,0.92,1.0,0.93,1.0,1.0,0.92,0.98,0.82,0.76,1.0,0.83,0.94,0.97
irplus.csv,0.39,0.33,0.26,0.14,0.62,0.44,0.28,0.38,0.24,0.92,0.14,0.17,0.36,0.2
kwave.csv,0.34,0.37,0.15,0.29,0.92,1.0,0.17,0.44,0.35,0.4,0.43,0.41,0.47,0.37
liferea.csv,0.47,0.46,0.41,0.29,0.92,0.31,0.28,0.52,0.59,0.64,0.57,0.46,0.36,0.63
plearn.csv,0.93,0.47,0.52,0.43,0.46,0.56,0.37,0.31,0.47,0.52,1.0,0.49,0.75,0.8
psrchive.csv,0.19,0.22,0.0,1.0,0.15,0.06,0.08,0.08,0.29,0.32,0.57,0.63,0.22,0.17
qcad2.csv,0.29,0.36,0.15,0.29,0.54,0.31,0.1,0.94,0.53,0.56,0.29,0.61,0.39,0.33
tzod.csv,0.54,0.33,1.0,0.43,1.0,0.44,0.45,0.67,0.47,0.6,0.71,0.71,0.53,0.7
wxcode.csv,0.07,0.03,0.0,0.14,0.08,0.0,0.02,0.02,0.0,0.0,0.86,0.05,0.06,0.07
xinity.csv,0.64,0.18,0.7,0.14,0.69,0.25,0.3,0.33,0.35,0.4,0.43,0.98,0.22,0.57
xmoto.csv,0.63,0.59,0.81,0.79,0.77,0.44,0.5,0.42,0.65,0.64,0.71,0.71,0.94,0.7
