,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.94,0.94,0.69,0.55,0.91,0.85,0.2,0.99,0.81,0.9,0.97,0.94,0.89,0.92,0.54
cme.csv,0.93,0.97,0.99,1.0,1.0,1.0,1.0,0.95,0.97,1.0,1.03,1.0,0.89,0.92,0.04
hydrate.csv,0.86,0.89,0.67,1.0,0.83,1.01,1.0,0.55,0.84,0.83,0.61,0.82,0.75,0.64,0.24
ivef-sdk.csv,0.84,0.76,0.62,0.94,0.82,0.0,0.95,0.95,0.8,0.76,1.0,1.13,0.91,1.0,0.65
jmri.csv,0.54,0.73,0.46,0.92,0.96,0.45,0.77,0.47,0.56,0.75,0.57,0.75,0.86,0.77,0.9
jython.csv,0.92,0.88,0.65,0.9,0.91,0.8,0.97,0.21,0.93,0.7,0.84,0.89,0.83,0.85,0.96
kdenlive.csv,0.42,0.55,0.63,1.06,0.65,1.25,0.64,0.99,0.6,0.64,0.83,0.61,0.61,0.74,0.65
opentibia.csv,0.72,0.34,0.65,0.75,0.73,0.96,0.81,0.97,0.81,0.95,0.63,0.62,0.96,0.85,1.06
projectfactory.csv,0.65,0.5,0.65,0.86,0.66,0.99,0.62,1.0,0.59,0.54,0.82,0.72,0.74,0.79,0.4
runuomondains.csv,0.56,0.63,0.58,0.89,0.89,1.27,0.89,0.43,0.51,0.82,0.28,0.61,0.95,0.75,0.85
somap.csv,1.0,1.0,0.85,0.85,0.85,1.08,0.86,1.0,1.0,0.85,0.97,0.24,1.0,1.0,0.75
taverna.csv,0.79,0.82,0.83,0.87,0.32,0.92,0.65,0.91,0.84,0.73,1.0,0.85,0.98,0.97,1.01
tigermud.csv,0.88,0.79,0.72,1.0,0.82,1.2,0.84,1.0,0.97,0.88,0.48,0.71,0.55,0.64,1.05
unbvision.csv,0.51,0.63,0.71,1.01,0.74,1.09,0.85,0.28,0.31,0.77,0.67,0.9,0.66,0.52,0.92
x-ray-mule.csv,0.84,0.86,0.91,0.37,0.73,1.0,1.04,0.95,0.87,0.73,1.0,0.64,0.75,0.97,0.63
