,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.37,0.39,0.54,0.56,0.36,0.47,0.84,0.05,0.49,0.12,0.3,0.14,0.13,0.4,0.61
cme.csv,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.13,0.11,0.99
hydrate.csv,0.23,0.17,0.5,0.0,0.23,0.0,0.0,0.5,0.2,0.21,0.52,0.22,0.3,0.6,0.81
ivef-sdk.csv,0.31,0.32,0.58,0.23,0.43,1.0,0.26,0.06,0.53,0.57,0.0,0.0,0.11,0.0,0.66
jmri.csv,0.53,0.33,0.67,0.2,0.13,0.61,0.45,0.6,0.51,0.35,0.53,0.37,0.17,0.31,0.36
jython.csv,0.3,0.43,0.56,0.36,0.35,0.56,0.13,0.86,0.27,0.57,0.48,0.43,0.48,0.47,0.17
kdenlive.csv,0.71,0.63,0.53,0.29,0.59,0.08,0.48,0.05,0.73,0.48,0.51,0.52,0.52,0.62,0.73
opentibia.csv,0.38,0.77,0.45,0.4,0.52,0.05,0.52,0.13,0.24,0.06,0.65,0.43,0.2,0.47,0.0
projectfactory.csv,0.42,0.57,0.51,0.2,0.47,0.11,0.51,0.0,0.61,0.62,0.51,0.33,0.57,0.56,0.76
runuomondains.csv,0.5,0.42,0.67,0.23,0.25,0.09,0.43,0.63,0.57,0.5,0.77,0.44,0.37,0.44,0.47
somap.csv,0.0,0.0,0.47,0.47,0.47,0.0,0.44,0.0,0.0,0.47,0.13,0.8,0.0,0.0,0.62
taverna.csv,0.25,0.21,0.22,0.2,0.79,0.11,0.64,0.11,0.2,0.58,0.0,0.18,0.04,0.04,0.0
tigermud.csv,0.18,0.29,0.51,0.0,0.26,0.0,0.21,0.19,0.04,0.16,0.63,0.34,0.64,0.69,0.0
unbvision.csv,0.67,0.45,0.35,0.28,0.4,0.0,0.41,0.78,0.79,0.3,0.57,0.13,0.42,0.67,0.3
x-ray-mule.csv,0.23,0.17,0.12,0.81,0.48,0.0,0.0,0.06,0.46,0.58,0.0,0.49,0.3,0.04,0.45
