,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.42,0.57,0.57,0.53,0.81,0.84,0.82,0.95,0.57,0.1,0.62,0.12,0.11,0.64,0.6
cme.csv,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.11,0.09,1.0
hydrate.csv,0.2,0.14,0.48,0.0,0.19,0.0,0.0,0.45,0.17,0.18,0.5,0.19,0.26,0.64,0.8
ivef-sdk.csv,0.28,0.28,0.6,0.2,0.44,1.0,0.24,0.05,0.87,0.77,0.0,0.47,0.09,0.0,0.8
jmri.csv,0.48,0.28,0.66,0.17,0.11,0.57,0.45,0.55,0.47,0.31,0.5,0.33,0.14,0.27,1.0
jython.csv,0.99,0.71,0.57,1.0,0.78,1.0,0.97,0.86,0.9,0.64,0.88,0.69,0.57,0.58,1.0
kdenlive.csv,0.72,0.64,0.51,0.37,0.63,0.07,0.45,0.95,0.9,0.44,1.0,0.49,0.49,0.94,1.0
opentibia.csv,0.34,0.77,0.41,0.37,0.56,0.04,0.76,0.95,0.2,0.05,0.75,0.38,0.89,0.91,0.0
projectfactory.csv,0.38,0.53,0.49,0.17,0.44,0.09,0.48,1.0,0.63,0.62,0.88,0.28,0.69,0.97,0.8
runuomondains.csv,0.45,0.37,0.75,0.2,0.22,0.18,0.52,0.59,0.53,0.77,0.75,0.39,0.43,0.42,0.6
somap.csv,0.97,0.95,0.77,1.0,1.0,0.6,0.97,0.91,1.0,0.74,1.0,0.76,1.0,1.0,1.0
taverna.csv,0.21,0.18,0.19,0.17,0.81,0.09,0.76,0.09,0.17,0.72,0.0,0.15,0.03,0.03,0.0
tigermud.csv,0.15,0.25,0.52,0.0,0.22,0.0,0.18,0.68,0.03,0.13,0.62,0.29,0.66,0.88,0.0
unbvision.csv,0.7,0.4,0.31,0.27,0.37,0.57,0.42,0.77,0.8,0.26,0.62,0.11,0.37,0.7,1.0
x-ray-mule.csv,0.2,0.14,0.1,0.87,0.48,0.0,0.0,0.05,0.67,0.72,0.0,0.46,0.26,0.03,0.4
