,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.97,0.77,0.55,0.05,0.69,0.89,0.79,0.58,0.62,0.67,0.59,0.58,0.42,0.42,0.57,0.5,0.6,0.57,0.7,0.57
bibletime.csv,0.53,0.66,0.76,0.52,0.77,0.61,0.75,0.54,0.78,0.59,0.69,0.43,0.67,0.72,0.68,0.05,0.4,0.53,0.59,0.81
critterding.csv,0.71,0.0,0.75,0.79,0.78,0.74,0.79,0.73,0.58,0.81,0.72,0.5,0.7,0.89,0.62,0.84,0.83,0.83,0.73,0.64
etics.csv,0.73,0.57,0.0,0.6,0.69,0.64,0.81,0.68,0.41,0.73,0.5,0.8,0.59,0.59,0.5,0.6,0.51,0.53,0.42,0.54
fmri-dmt.csv,0.92,0.91,0.92,0.92,0.85,0.91,1.0,0.86,0.81,1.0,0.86,0.93,0.97,1.0,0.0,0.87,0.91,0.97,1.0,0.92
genecys.csv,0.84,0.91,0.95,0.73,0.93,0.9,0.77,1.0,0.0,0.76,0.75,0.8,1.0,0.91,0.94,0.93,0.79,0.81,0.93,0.9
genoviz.csv,0.93,0.88,0.85,0.87,0.91,0.76,1.0,0.85,0.76,0.74,0.67,0.84,0.83,0.93,1.0,0.92,0.84,0.81,0.0,0.79
kftpgrabber.csv,0.73,0.7,0.56,0.77,0.78,0.69,0.67,0.74,0.67,0.52,0.51,0.67,0.0,0.7,0.65,0.86,0.67,0.58,0.38,0.77
kvs.csv,0.67,0.73,0.54,0.81,0.75,0.74,0.0,0.77,0.63,0.82,0.54,0.74,0.52,0.72,0.74,0.73,0.87,0.72,0.23,0.59
mcore3d.csv,0.68,0.64,0.58,0.61,0.02,0.51,0.7,0.51,0.71,0.65,0.61,0.65,0.5,0.62,0.92,0.58,0.6,0.69,0.85,0.58
miranda.csv,0.56,0.7,0.48,0.57,0.66,0.61,0.74,0.58,0.63,0.69,0.52,0.71,0.66,0.65,0.64,0.53,0.65,0.58,0.88,0.01
modplug.csv,0.71,0.68,0.88,0.67,0.63,0.66,0.78,0.57,0.61,0.76,0.6,0.0,0.63,0.62,0.79,0.53,0.63,0.55,0.82,0.74
monetdb.csv,0.67,0.68,0.68,0.61,0.73,0.79,0.73,0.66,0.82,0.11,0.6,0.48,0.56,0.81,0.88,0.96,0.74,0.7,0.49,0.72
netatalk.csv,0.67,0.71,0.62,0.56,0.63,0.66,0.56,0.65,0.62,0.57,0.44,0.68,0.39,0.0,0.64,0.62,0.61,0.58,0.68,0.53
ogrehg.csv,0.65,0.68,0.56,0.62,0.59,0.69,0.49,0.09,0.72,0.6,0.7,0.7,0.59,0.51,0.88,0.44,0.69,0.6,0.65,0.6
passwordsafe.csv,0.71,0.79,0.56,0.57,0.52,0.67,0.68,0.67,0.66,0.5,0.51,0.52,0.61,0.74,1.14,0.54,0.03,0.66,0.42,0.69
projecteqemu.csv,0.65,0.69,0.56,0.68,0.66,0.52,0.86,0.59,0.68,0.64,0.07,0.66,0.53,0.45,0.71,0.55,0.7,0.7,0.51,0.54
reactos-mirror.csv,0.11,0.67,0.6,0.67,0.83,0.79,0.61,0.77,0.53,0.46,0.69,0.46,0.82,0.97,0.73,0.68,0.57,0.72,0.64,0.76
xbplayer.csv,0.75,0.73,0.85,0.79,0.84,0.02,0.76,0.78,0.81,0.66,0.52,0.65,0.59,0.86,0.52,0.85,0.83,0.67,0.65,0.59
xmoto.csv,0.76,0.64,0.53,0.66,0.74,0.71,0.61,0.66,0.67,0.48,0.8,0.67,0.47,0.45,0.82,0.83,0.54,0.06,0.74,0.52
