,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.58,0.86,0.62,0.91,0.62,0.78,0.8,0.65,0.46,0.39,0.71,0.94
gamestone.csv,0.83,0.23,0.81,0.71,0.73,1.0,0.85,0.86,0.77,0.95,0.92,0.78
gbif-providertoolkit.csv,0.68,1.05,0.66,0.65,0.3,0.94,0.42,0.72,0.89,0.63,0.77,0.79
heekscad.csv,0.34,0.41,0.47,0.59,0.61,0.65,0.74,0.69,0.59,0.65,0.72,0.74
igarden.csv,0.53,0.64,0.5,0.53,0.68,0.52,0.91,0.72,0.57,0.62,0.54,0.74
levent.csv,0.57,0.9,0.93,0.94,0.75,0.48,0.57,0.94,1.0,1.0,0.82,1.0
libmesh.csv,0.93,1.01,0.92,0.9,0.69,1.0,0.42,0.77,0.89,1.0,1.11,0.88
openmsx.csv,0.6,0.74,0.8,0.7,0.65,0.73,0.82,0.52,0.75,1.02,0.98,0.85
pnotepad.csv,0.43,0.61,0.73,0.96,0.88,0.66,0.7,0.83,0.66,1.0,0.19,0.84
quark.csv,0.59,0.75,0.65,0.9,0.72,0.92,0.94,0.86,0.97,0.29,0.72,0.79
tango-cs.csv,0.54,0.45,0.7,0.69,0.78,0.96,0.88,0.78,0.58,0.93,0.66,0.66
xcsoar.csv,0.39,0.75,0.39,0.68,0.42,0.73,0.85,0.72,0.61,1.0,0.83,0.64
