,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.77,0.88,0.82,0.94,0.5,0.22,0.35,0.43,0.75,0.92,0.62,0.93
gamestone.csv,0.17,0.88,0.2,0.39,0.36,0.0,0.31,0.17,0.34,0.08,0.1,0.62
gbif-providertoolkit.csv,0.64,0.0,0.38,0.42,0.86,0.06,0.62,0.42,0.16,0.54,0.42,0.22
heekscad.csv,0.78,0.75,0.62,0.61,0.79,0.45,0.92,0.57,0.5,1.0,0.81,0.84
igarden.csv,0.48,0.38,0.59,0.65,0.57,0.51,0.23,0.34,0.55,1.0,0.5,0.78
levent.csv,0.55,0.12,0.07,0.06,0.86,0.71,0.54,0.06,0.0,0.0,0.19,0.0
libmesh.csv,0.57,0.0,0.14,0.19,0.36,0.0,0.77,0.58,0.16,0.0,0.52,0.13
openmsx.csv,0.73,0.88,0.3,0.84,0.43,0.29,0.54,0.58,0.7,0.0,0.23,0.18
pnotepad.csv,0.58,0.88,0.88,1.0,0.86,0.65,0.69,0.55,0.78,1.0,0.81,0.96
quark.csv,0.42,0.25,0.36,0.1,0.29,0.08,0.08,0.14,0.02,0.85,0.29,0.33
tango-cs.csv,0.74,0.62,0.62,0.77,0.93,0.04,0.19,0.68,0.71,0.77,0.56,0.47
xcsoar.csv,0.65,0.25,0.7,0.61,0.71,0.31,0.27,0.37,0.48,1.0,0.17,0.49
