,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.53,0.85,0.59,0.9,0.36,0.04,0.46,0.31,0.38,0.38,0.6,0.94
gamestone.csv,0.02,0.19,0.13,0.36,0.34,0.0,0.5,0.22,0.38,0.21,0.2,0.68
gbif-providertoolkit.csv,0.57,0.31,0.23,0.29,0.27,0.04,0.17,0.41,0.31,0.42,0.5,0.13
heekscad.csv,0.26,0.33,0.28,0.44,0.57,0.35,0.74,0.54,0.31,0.65,0.7,0.72
igarden.csv,0.11,0.13,0.28,0.39,0.52,0.17,0.48,0.28,0.35,0.62,0.2,0.71
levent.csv,0.34,0.19,0.01,0.03,0.73,0.39,0.33,0.04,0.0,0.0,0.1,0.0
libmesh.csv,0.83,0.13,0.32,0.4,0.25,0.04,0.35,0.65,0.31,0.1,1.0,0.13
openmsx.csv,0.53,0.73,0.39,0.68,0.31,0.13,0.67,0.32,0.69,0.19,0.6,0.22
pnotepad.csv,0.13,0.6,0.72,0.96,0.87,0.57,0.63,0.7,0.62,1.0,0.0,0.84
quark.csv,0.11,0.04,0.07,0.06,0.12,0.0,0.2,0.06,0.0,0.25,0.1,0.42
tango-cs.csv,0.47,0.25,0.59,0.65,0.78,0.04,0.35,0.71,0.5,0.9,0.5,0.39
xcsoar.csv,0.17,0.08,0.24,0.56,0.31,0.22,0.43,0.34,0.31,1.0,0.0,0.39
