,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.91,0.38,0.27,0.24,0.17,0.84,0.0,0.24,0.16,0.6,0.0,0.25
bigdata.csv,0.1,0.75,0.21,0.21,0.04,0.56,0.04,0.21,0.29,1.0,0.0,0.34
calcubetimer.csv,0.37,0.76,0.22,0.25,0.22,1.0,0.04,0.27,0.25,0.93,0.12,0.34
jas.csv,0.11,0.03,0.0,0.0,0.0,0.03,0.18,0.0,0.0,0.09,0.93,0.09
jbpm.csv,0.16,0.03,0.33,0.0,0.99,0.3,0.0,0.0,0.0,0.41,0.21,0.17
jgossipforum.csv,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0
joustsim.csv,0.23,0.54,0.34,0.34,0.22,0.42,0.09,1.0,0.32,0.57,0.33,0.44
madman.csv,0.0,0.11,0.08,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.09
mule.csv,0.0,0.99,0.26,0.29,0.27,0.53,0.09,0.45,0.23,0.51,0.19,0.43
nunit.csv,0.05,0.53,0.29,0.12,0.39,0.35,0.0,0.42,0.19,0.53,0.17,0.97
piccolo2d.csv,0.0,0.26,0.08,0.96,0.17,0.04,0.0,0.0,0.0,0.14,0.0,0.18
sblim.csv,0.0,0.05,1.0,0.35,0.24,0.16,0.0,0.0,0.0,0.04,0.0,0.2
