,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.88,0.61,0.23,0.16,0.11,0.98,0.0,0.17,0.1,0.9,0.0,0.19
bigdata.csv,0.25,0.61,0.2,0.16,0.04,0.96,0.02,0.25,0.17,1.0,0.0,0.21
calcubetimer.csv,0.24,0.62,0.14,0.15,0.12,1.0,0.02,0.16,0.14,0.88,0.06,0.2
jas.csv,0.33,0.67,0.0,0.0,0.0,0.5,0.17,0.0,0.0,0.81,1.0,0.67
jbpm.csv,0.22,0.5,0.27,0.0,1.0,1.0,0.0,0.0,0.0,0.83,0.18,0.5
jgossipforum.csv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
joustsim.csv,0.18,0.76,0.32,0.31,0.24,0.94,0.05,1.0,0.22,0.9,0.3,0.5
madman.csv,0.0,0.69,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
mule.csv,0.0,0.99,0.25,0.21,0.19,1.0,0.05,0.35,0.17,0.93,0.15,0.37
nunit.csv,0.05,0.7,0.22,0.11,0.26,1.0,0.0,0.32,0.15,0.94,0.11,1.0
piccolo2d.csv,0.0,0.85,0.25,1.0,0.33,1.0,0.0,0.0,0.0,0.91,0.0,0.8
sblim.csv,0.0,0.8,1.0,0.75,0.53,1.0,0.0,0.0,0.0,0.86,0.0,0.45
