,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.95,0.32,0.36,0.49,0.37,0.73,0.0,0.4,0.4,0.49,0.0,0.38
bigdata.csv,0.07,0.09,0.27,0.35,0.05,0.43,0.13,0.21,0.56,0.99,0.0,0.32
calcubetimer.csv,0.64,0.17,0.4,0.27,0.33,1.0,0.09,0.09,0.09,0.21,0.0,0.13
jas.csv,0.07,0.01,0.0,0.0,0.0,0.02,0.24,0.0,0.0,0.06,0.9,0.06
jbpm.csv,0.15,0.01,0.45,0.0,0.98,0.22,0.0,0.0,0.0,0.31,0.29,0.12
jgossipforum.csv,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0
joustsim.csv,0.35,0.45,0.4,0.43,0.25,0.31,0.62,1.0,0.62,0.45,0.43,0.45
madman.csv,0.0,0.07,0.06,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.06
mule.csv,0.0,0.99,0.31,0.5,0.51,0.41,0.45,0.66,0.42,0.39,0.29,0.54
nunit.csv,0.07,0.46,0.44,0.18,0.75,0.25,0.0,0.66,0.29,0.42,0.42,0.96
piccolo2d.csv,0.0,0.18,0.06,0.93,0.15,0.02,0.0,0.0,0.0,0.1,0.0,0.12
sblim.csv,0.0,0.04,1.0,0.27,0.18,0.11,0.0,0.0,0.0,0.02,0.0,0.15
