,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.49,0.03,0.2,0.15,0.58,0.45,0.11,0.19,0.1,0.3,0.5,0.0
emulemorph.csv,0.29,0.0,0.26,0.0,0.44,0.0,0.0,0.0,0.18,0.0,0.0,0.0
jaxen.csv,0.46,0.02,0.23,0.14,0.42,0.73,0.0,0.56,0.08,0.39,0.49,0.0
jvcl.csv,0.09,0.44,0.33,0.22,0.43,0.15,0.0,0.13,0.15,0.33,0.41,0.0
m-m-m.csv,0.4,0.02,0.15,0.14,0.35,0.88,0.03,0.11,0.03,0.37,0.5,0.04
motu.csv,0.49,0.03,0.19,0.11,0.38,0.73,0.0,0.09,0.13,0.51,0.53,0.02
nh3d.csv,0.47,0.8,0.0,0.12,0.41,0.91,0.03,0.11,0.0,0.36,0.57,0.02
sarasvati.csv,0.35,0.02,0.08,0.26,0.19,0.42,0.12,0.11,0.0,0.35,0.43,0.09
wgs-assembler.csv,0.53,0.02,0.19,0.13,0.44,0.3,0.05,0.14,0.11,0.44,0.39,0.0
zabbix.csv,0.5,0.0,0.16,0.15,0.33,0.49,0.0,0.13,0.05,0.41,0.5,0.0
