,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,1.11,1.1,0.73,0.0,0.77,0.58,0.52,1.0,0.91,0.87,0.74,0.81,0.76,0.72
encog-cs.csv,0.65,0.83,0.92,0.95,0.91,0.89,1.01,0.78,0.05,0.82,0.81,0.89,0.82,0.96
extprosys.csv,0.87,0.71,0.08,0.81,0.87,0.77,0.81,0.63,0.6,0.87,0.7,0.73,0.89,0.88
ibatisdb.csv,1.01,0.83,0.86,0.81,0.87,0.84,0.77,0.77,0.91,0.84,0.9,0.98,0.82,0.03
intact.csv,1.09,0.7,0.82,0.72,0.64,0.07,0.69,0.7,0.63,0.78,0.58,0.71,0.61,0.85
japano.csv,0.96,1.0,0.58,0.76,0.97,0.9,0.55,0.0,1.0,0.88,0.98,0.95,0.89,0.98
lockss.csv,1.0,1.01,0.96,1.0,1.0,1.0,0.92,0.93,0.95,0.09,0.96,0.7,0.95,0.92
ofbiz.csv,1.08,0.58,0.59,0.78,0.8,0.73,0.64,0.73,0.63,0.77,0.51,0.9,0.01,0.76
officefloor.csv,1.09,0.71,0.86,0.87,0.7,0.62,0.93,0.79,0.98,0.92,0.24,0.77,0.98,0.89
opennms.csv,1.02,0.8,0.73,0.82,0.03,0.88,0.69,0.89,0.78,0.88,0.8,0.77,0.85,0.94
rohxel.csv,0.75,0.87,0.53,0.5,0.78,0.67,0.0,0.71,0.61,0.6,0.61,0.98,0.65,0.72
roolo.csv,0.15,0.85,0.85,0.92,0.92,0.74,0.9,0.84,0.9,0.66,0.88,0.0,0.86,0.9
sevenupdate.csv,0.94,0.0,1.0,1.0,0.9,0.97,0.9,1.0,0.91,0.81,0.99,0.82,0.82,1.0
