,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.0,0.82,0.27,1.0,0.26,0.37,0.85,0.89,0.36,0.15,0.03,0.31,0.7,0.3
encog-cs.csv,0.01,0.86,0.15,0.86,0.26,0.28,0.76,0.94,0.98,0.14,0.03,0.37,0.62,0.25
extprosys.csv,0.01,0.89,0.92,0.88,0.25,0.33,0.76,0.95,0.43,0.14,0.03,0.41,0.64,0.24
ibatisdb.csv,0.0,0.9,0.22,0.91,0.31,0.25,0.9,0.97,0.75,0.2,0.06,0.1,0.82,1.0
intact.csv,0.0,0.89,0.37,0.88,0.32,1.0,0.8,1.0,0.51,0.2,0.04,0.39,0.77,0.18
japano.csv,0.01,0.89,0.37,0.88,0.22,0.29,0.85,1.0,0.35,0.21,0.03,0.35,0.69,0.25
lockss.csv,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.9,0.75,1.0,0.01,0.86,0.71,0.23
ofbiz.csv,0.0,0.93,0.39,0.87,0.33,0.29,0.88,0.95,0.47,0.21,0.05,0.4,1.0,0.24
officefloor.csv,0.0,0.94,0.28,0.88,0.32,0.41,0.76,0.94,1.0,0.09,0.91,0.36,0.8,0.26
opennms.csv,0.0,0.87,0.5,0.88,0.93,0.29,0.79,0.93,0.58,0.19,0.05,0.42,0.76,0.13
rohxel.csv,0.01,0.88,0.39,0.93,0.25,0.33,1.0,0.94,0.42,0.25,0.04,0.23,0.71,0.3
roolo.csv,0.06,0.89,0.47,1.0,0.15,0.47,0.8,0.95,0.26,0.33,0.01,1.0,0.6,0.14
sevenupdate.csv,0.01,1.0,0.28,0.88,0.27,0.3,1.0,0.93,0.36,0.19,0.03,0.36,0.69,0.26
