,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.56,0.42,0.66,0.37,0.42,0.48,0.38,0.45,0.37,0.46,0.48,0.44,0.41,0.45
encog-cs.csv,0.43,0.55,0.97,0.42,0.38,0.38,0.39,0.52,0.66,0.63,0.58,0.42,0.63,0.44
extprosys.csv,0.35,0.59,0.75,0.42,0.42,0.39,0.52,0.66,0.53,0.58,0.56,0.5,0.44,0.5
ibatisdb.csv,0.91,0.9,0.97,0.91,0.92,0.92,0.9,0.87,0.88,0.95,0.99,0.8,0.98,0.8
intact.csv,0.61,0.36,0.81,0.57,0.55,0.75,0.6,0.65,0.7,0.41,0.55,0.72,0.55,0.69
japano.csv,0.31,0.44,0.48,0.41,0.4,0.37,0.52,0.49,0.35,0.4,0.45,0.41,0.39,0.42
lockss.csv,0.75,0.0,0.83,0.0,0.67,0.5,0.67,0.9,0.75,0.95,1.0,0.86,0.93,0.92
ofbiz.csv,0.52,0.39,0.54,0.39,0.94,0.55,0.65,0.53,0.63,0.69,0.46,0.8,0.44,0.49
officefloor.csv,0.64,0.94,0.97,0.41,0.94,0.88,0.43,0.56,0.0,0.97,0.97,0.55,0.8,0.47
opennms.csv,0.95,0.61,0.77,0.92,0.7,0.93,0.5,0.93,0.96,0.94,0.99,0.92,0.98,0.96
rohxel.csv,0.33,0.43,0.49,0.35,0.39,0.41,0.44,0.47,0.43,0.4,0.47,0.41,0.42,0.49
roolo.csv,0.94,0.89,0.94,0.88,0.95,0.94,0.8,0.95,0.97,0.88,0.94,0.8,0.93,0.79
sevenupdate.csv,0.32,0.47,0.47,0.35,0.38,0.34,0.75,0.48,0.38,0.7,0.45,0.91,0.41,0.42
