,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.0,0.66,0.34,1.0,0.38,0.49,0.79,0.68,0.51,0.25,0.06,0.39,0.75,0.44
encog-cs.csv,0.03,0.64,0.13,0.83,0.4,0.41,0.82,0.93,0.97,0.2,0.05,0.53,0.56,0.4
extprosys.csv,0.02,0.63,0.92,0.84,0.37,0.48,0.69,0.81,0.5,0.22,0.05,0.58,0.67,0.37
ibatisdb.csv,0.0,0.31,0.19,0.33,0.2,0.22,0.37,0.38,0.16,0.19,0.07,0.07,0.3,0.99
intact.csv,0.0,0.65,0.25,0.62,0.38,0.97,0.54,0.46,0.45,0.31,0.07,0.37,0.58,0.2
japano.csv,0.02,0.94,0.51,0.8,0.34,0.44,0.7,1.0,0.52,0.34,0.05,0.51,0.79,0.39
lockss.csv,0.0,0.0,0.07,0.0,0.0,0.0,0.14,0.13,0.09,0.95,0.02,0.44,0.09,0.12
ofbiz.csv,0.0,0.68,0.44,0.68,0.26,0.33,0.54,0.46,0.45,0.24,0.09,0.16,0.99,0.28
officefloor.csv,0.0,0.46,0.2,0.86,0.34,0.42,0.79,0.89,0.03,0.11,0.83,0.48,0.04,0.4
opennms.csv,0.0,0.68,0.36,0.33,0.97,0.18,0.6,0.2,0.33,0.16,0.08,0.31,0.26,0.1
rohxel.csv,0.02,0.81,0.49,0.82,0.35,0.46,1.0,0.84,0.5,0.38,0.07,0.31,0.59,0.45
roolo.csv,0.11,0.28,0.23,0.14,0.12,0.34,0.18,0.29,0.16,0.35,0.03,1.0,0.28,0.15
sevenupdate.csv,0.02,1.0,0.44,0.94,0.42,0.46,0.19,0.96,0.52,0.2,0.05,0.26,0.78,0.41
