,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.73,0.6,0.0,0.51,0.27,0.89,0.29,0.4,0.25,0.71,0.79,0.5,0.5,0.64,0.31,0.68,0.49,0.54,0.51
auber.csv,0.09,0.53,0.05,0.72,0.57,0.0,0.5,0.31,0.54,0.52,0.0,0.59,0.78,0.51,0.0,0.48,0.3,0.58,0.62
cortex-vfx.csv,0.72,0.45,0.0,0.55,0.56,0.78,0.35,0.46,0.53,0.51,0.34,0.55,0.57,0.54,0.34,0.63,0.2,0.53,0.56
empserver.csv,0.71,0.61,0.09,0.73,0.43,0.85,0.65,0.24,0.25,0.71,0.67,0.41,0.58,0.55,0.19,0.35,0.29,0.6,0.59
flylegacy.csv,0.5,0.67,0.0,0.58,0.55,0.81,0.51,0.13,0.6,0.4,0.74,0.53,0.72,0.59,0.0,0.27,0.63,0.5,0.55
galaxium.csv,0.75,0.41,0.0,0.69,0.3,0.91,0.26,0.51,0.48,0.66,0.8,0.76,0.52,0.68,0.54,0.53,0.42,0.44,0.48
growl-for-windows.csv,0.0,0.0,0.0,0.54,0.0,0.0,0.04,0.38,0.3,0.49,0.0,0.48,0.34,0.0,0.0,0.54,0.78,0.54,0.26
k3d.csv,0.25,0.29,1.0,0.46,0.81,0.0,0.53,0.62,0.12,0.36,0.0,0.53,0.42,0.11,0.15,0.37,0.04,0.23,0.64
libarchive.csv,0.45,0.57,0.56,0.39,0.48,0.64,0.55,0.62,0.76,0.52,0.74,0.24,0.65,0.48,0.98,0.5,0.47,0.6,0.69
linux-ntfs.csv,0.74,0.59,0.62,0.67,0.5,0.38,0.32,0.47,0.6,0.38,0.69,0.55,0.64,0.41,0.0,0.65,0.37,0.56,0.61
m-a-d-n-e-s-s.csv,0.68,0.46,0.0,0.45,0.24,0.84,0.57,0.0,0.12,0.7,0.56,0.34,0.35,0.29,0.23,0.53,0.17,0.2,0.72
novembre.csv,0.69,0.59,0.0,0.72,0.23,0.55,0.52,0.0,0.21,0.19,0.7,0.17,0.18,0.15,0.19,0.45,0.2,0.3,0.46
qtwin.csv,0.07,0.12,0.0,0.16,0.27,0.98,0.0,0.09,0.16,0.15,0.17,0.04,0.38,0.63,0.15,0.42,0.07,0.02,0.0
st-filteredstatistics.csv,0.72,0.2,0.13,0.21,0.35,0.71,0.62,0.21,0.79,0.5,0.57,0.66,0.62,0.21,0.0,0.62,0.49,0.35,0.63
tweetsharp.csv,0.43,0.17,0.0,0.48,0.47,0.48,0.2,0.5,0.53,0.54,0.25,0.51,0.6,0.59,0.0,0.34,0.58,0.78,0.26
unladen-swallow.csv,0.48,0.33,0.0,0.47,0.44,0.54,0.4,0.33,0.46,0.44,0.38,0.57,0.14,0.46,0.19,0.1,0.31,0.24,0.55
wishmaster.csv,0.35,0.49,0.96,0.37,0.23,0.79,0.31,0.83,0.06,0.49,0.64,0.51,0.18,0.41,0.53,0.18,0.49,0.06,0.31
