,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.44,0.41,0.35,0.25,0.16,0.38,0.15,0.3,0.15,0.33,0.23,0.24,0.24,0.71,0.0,0.59,0.11,0.2,0.28
auber.csv,0.98,0.59,0.99,0.57,0.77,1.0,0.79,0.52,0.77,0.77,1.0,0.45,0.24,0.36,1.0,0.83,0.61,0.53,0.66
cortex-vfx.csv,0.37,0.14,0.31,0.32,0.28,0.36,0.18,0.34,0.62,0.33,0.19,0.21,0.36,0.25,0.0,0.59,0.06,0.27,0.28
empserver.csv,0.51,0.73,0.98,0.45,0.35,0.47,0.3,0.43,0.23,0.57,0.54,0.21,0.6,0.78,0.0,0.9,0.28,0.53,0.49
flylegacy.csv,0.8,0.41,0.89,0.72,0.36,0.54,0.24,0.97,0.69,0.88,0.47,0.72,0.55,0.44,1.0,0.93,0.67,0.8,0.46
galaxium.csv,0.4,0.86,0.91,0.55,0.4,0.33,0.18,0.44,0.23,0.27,0.41,0.16,0.33,0.48,0.0,0.72,0.39,0.53,0.04
growl-for-windows.csv,0.0,0.0,0.0,0.8,0.0,0.0,0.03,0.89,0.92,0.12,0.0,0.16,0.2,0.0,1.0,0.21,0.22,0.73,0.0
k3d.csv,0.17,0.23,0.02,0.57,0.15,0.09,0.76,0.59,0.46,0.2,0.02,0.26,0.18,0.06,0.0,0.55,0.06,0.13,0.44
libarchive.csv,0.85,0.73,0.8,0.88,0.81,0.74,0.61,0.67,0.54,0.18,0.53,0.94,0.65,0.84,0.0,0.79,0.83,0.6,0.32
linux-ntfs.csv,0.44,0.5,0.75,0.6,0.49,0.08,0.27,0.62,0.69,0.87,0.52,0.41,0.24,0.13,1.0,0.48,0.83,0.67,0.31
m-a-d-n-e-s-s.csv,0.3,0.36,0.41,0.15,0.15,0.12,0.55,0.0,0.0,0.2,0.08,0.1,0.11,0.1,0.0,0.28,0.28,0.2,0.31
novembre.csv,0.32,0.41,0.38,0.3,0.26,0.14,0.79,0.02,0.15,0.27,0.48,0.1,0.09,0.09,0.0,0.38,0.11,0.2,0.84
qtwin.csv,0.04,0.09,0.05,0.0,0.08,0.09,0.0,0.07,0.23,0.02,0.1,0.07,0.07,0.59,0.0,0.21,0.06,0.13,0.0
st-filteredstatistics.csv,0.64,0.95,0.97,0.95,0.53,0.54,0.55,0.95,0.23,0.83,0.78,0.68,0.27,0.95,1.0,0.72,0.83,0.53,0.26
tweetsharp.csv,0.78,0.0,0.35,0.45,0.24,0.78,0.09,0.77,0.77,0.38,0.39,0.36,0.56,0.48,1.0,0.48,0.33,0.27,0.29
unladen-swallow.csv,0.2,0.41,0.16,0.52,0.33,0.22,0.58,0.28,0.46,0.32,0.23,0.29,0.16,0.31,0.0,0.0,0.39,0.33,0.22
wishmaster.csv,0.19,0.59,0.18,0.35,0.4,0.35,0.52,0.28,0.15,0.17,0.29,0.51,0.15,0.35,0.0,0.1,0.44,0.13,0.06
