,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.38,0.42,0.56,0.06,0.56,0.5,0.55,0.26,0.34,0.5,0.94,0.18,0.32,0.33,0.4,0.6,0.08,0.33,0.43,0.29
alpine.csv,0.12,0.08,0.11,0.0,0.25,0.13,0.04,0.1,0.11,1.0,0.04,0.0,0.35,0.02,0.23,0.4,0.14,0.0,0.14,0.12
autowikibrowser.csv,0.29,0.45,0.56,0.38,0.69,0.45,0.51,0.38,0.58,0.33,0.69,0.36,0.29,0.67,0.53,0.5,0.26,0.67,0.95,0.35
critterding.csv,0.97,0.34,0.67,0.69,0.31,0.63,0.43,0.42,0.82,0.5,0.92,0.36,0.52,0.62,0.77,0.4,0.17,0.33,0.43,0.35
firebird.csv,0.71,0.97,0.56,0.06,0.5,0.73,0.62,0.53,0.66,0.33,0.84,0.55,0.42,0.79,0.67,0.6,0.42,0.67,0.61,0.76
fmri-dmt.csv,0.03,0.02,0.0,0.0,0.0,0.06,0.0,0.04,0.05,0.0,0.02,0.27,0.06,0.0,0.0,0.0,0.03,1.0,0.02,0.08
genecys.csv,0.91,0.84,1.0,0.62,1.0,1.0,0.91,1.0,1.0,1.0,0.99,1.0,0.65,1.0,0.97,1.0,0.88,1.0,0.91,1.0
hydrogen.csv,0.29,0.44,0.56,0.25,1.0,0.44,0.28,0.1,0.18,0.17,0.55,0.0,0.16,0.55,0.43,0.2,0.46,0.33,0.27,0.35
jcae.csv,0.0,0.0,1.0,0.0,0.25,0.0,0.09,0.07,0.03,0.0,0.22,0.0,0.0,0.0,0.17,0.1,0.03,0.17,0.11,0.0
kftpgrabber.csv,0.26,0.29,0.33,0.06,0.44,0.23,0.3,0.12,0.45,0.25,0.6,0.27,0.1,0.6,1.0,0.3,0.12,0.33,0.18,0.57
libarchive.csv,0.47,0.57,0.89,0.44,0.75,0.61,0.6,0.53,0.45,0.33,0.75,0.64,0.61,0.67,0.57,0.6,0.32,0.67,0.61,0.98
mimosa.csv,0.85,0.59,0.56,0.25,1.0,0.81,0.7,0.57,1.0,0.67,0.4,0.91,0.74,0.4,0.8,1.0,0.62,0.67,0.91,0.78
monetdb.csv,0.38,0.55,0.44,0.31,0.31,0.35,0.96,0.47,0.13,0.17,0.55,0.36,0.35,0.52,0.57,0.3,0.35,0.33,0.43,0.39
nosleepsoftware.csv,0.18,0.29,0.11,0.88,0.0,0.1,0.17,0.02,0.0,0.5,0.01,0.0,0.32,0.0,0.0,0.0,0.22,0.0,0.16,0.1
openmsx.csv,0.44,0.83,0.22,0.25,0.81,0.98,0.21,0.55,0.21,0.92,0.31,0.82,0.68,0.62,0.27,0.6,0.92,0.5,0.5,0.39
quarkplayer.csv,0.5,0.45,0.11,0.88,0.19,0.03,0.49,0.23,0.0,0.17,0.71,0.73,0.29,0.62,0.33,0.0,0.65,0.5,0.34,0.43
riff-evolve.csv,0.53,0.59,0.89,0.38,0.69,0.65,0.79,0.93,0.42,0.83,0.76,0.36,0.35,0.64,0.57,0.7,0.25,0.5,0.59,0.55
virtuoso.csv,0.41,0.98,0.89,1.0,1.0,0.27,0.98,0.76,0.68,1.0,0.99,0.91,0.97,0.9,0.9,0.5,0.94,0.83,0.89,1.0
xined.csv,0.68,0.23,0.22,0.31,0.5,0.37,0.26,0.23,0.16,0.08,0.25,0.18,0.1,0.21,0.27,1.0,0.45,0.33,0.27,0.49
zoolib.csv,0.15,0.06,0.11,0.12,0.31,0.35,0.11,0.05,0.11,0.17,0.08,0.09,0.74,0.02,0.17,0.4,0.03,0.17,0.27,0.16
