,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.38,0.56,0.64,0.46,0.42
intact.csv,0.37,0.57,0.96,0.57,0.42
miranda-icq.csv,0.62,0.67,0.57,0.91,0.46
ofbiz.csv,0.5,0.45,0.42,0.64,0.45
roolo.csv,0.52,0.43,0.44,0.83,0.54
