,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.88,0.54,0.81,0.86,0.8,0.81,0.92,0.7,1.0,0.62,1.0,0.58
crisscross.csv,0.96,1.0,0.76,0.94,0.34,0.92,0.88,0.97,0.62,1.0,1.0,0.99
gabel.csv,0.29,0.31,0.71,0.57,0.16,0.4,0.35,0.3,0.88,0.06,0.7,0.45
jguard.csv,0.81,1.0,1.0,0.8,0.98,0.51,0.82,0.7,1.0,0.88,0.9,0.91
jitterbit.csv,0.66,0.0,0.62,0.57,0.25,0.66,0.58,0.43,1.0,0.31,0.6,0.55
mycila.csv,0.64,0.46,0.76,0.37,0.86,0.28,0.58,0.43,1.0,0.88,0.8,0.54
nova.csv,0.57,0.85,0.62,0.66,0.57,0.61,0.51,0.47,0.88,0.19,0.6,0.67
ontomorphtab.csv,0.65,0.69,0.52,0.71,0.68,0.7,0.71,0.7,0.88,0.19,1.0,0.62
tmva.csv,0.38,0.77,1.0,0.86,0.95,0.43,0.95,0.47,0.88,0.31,1.0,0.76
vienna-add-in.csv,0.44,0.69,0.67,0.71,0.14,0.82,0.75,0.5,0.12,0.38,0.6,0.57
vrjuggler.csv,0.8,0.31,0.24,0.71,0.43,0.54,0.81,0.57,0.0,0.75,0.5,0.37
wpdev.csv,1.0,0.69,0.57,1.0,0.48,0.98,0.94,0.97,1.0,0.75,1.0,1.0
