,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.47,0.63,0.08,0.84,0.54,0.83,0.64,0.88
decidr.csv,0.7,0.74,0.73,0.58,0.02,0.62,1.07,0.76
exist.csv,0.81,0.59,0.79,0.63,0.5,0.04,1.06,0.58
ivatamasks.csv,0.0,0.66,0.77,0.71,0.65,0.7,0.39,0.76
libopenmetaverse.csv,1.0,0.83,1.0,0.03,0.99,0.73,1.17,0.48
mule.csv,0.62,0.02,0.97,0.71,0.68,0.61,1.01,0.59
runuomondains.csv,0.89,0.95,0.97,0.94,0.96,0.88,1.0,0.25
