,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.0,0.83,0.42,0.79,1.02,0.88,0.72,0.74,1.02,0.83,0.88,0.94,0.88
e-bio-flow.csv,0.95,0.69,0.58,0.67,0.46,0.56,0.49,0.17,0.8,0.82,1.01,0.88,1.01
jas.csv,0.94,0.78,0.92,0.98,1.0,1.0,0.94,0.97,1.0,1.0,1.0,0.99,0.12
jbpm.csv,1.0,1.0,0.93,0.1,1.0,0.87,0.9,0.94,0.81,1.0,1.0,0.91,0.51
jgossipforum.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99,1.0
jmonkeyengine.csv,0.86,0.27,0.85,0.51,1.04,0.84,0.11,0.74,0.81,1.03,0.91,0.73,0.92
joustsim.csv,0.85,0.73,0.92,0.89,1.0,0.83,0.84,0.84,0.61,0.0,0.88,0.68,0.5
log4net.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ngl.csv,0.86,0.69,0.51,0.43,0.59,0.55,0.58,0.66,0.38,0.5,0.53,0.0,0.71
piccolo2d.csv,0.94,0.91,0.01,0.79,1.0,0.96,0.89,0.97,1.0,1.0,1.0,0.98,1.0
pustefix.csv,0.74,0.76,0.63,0.82,0.85,0.04,0.63,0.59,0.7,0.5,0.75,0.89,0.71
reaper3d.csv,0.98,0.42,0.87,0.76,1.02,0.96,0.94,0.87,1.0,0.88,0.12,1.0,1.0
sblim.csv,0.83,0.0,0.77,0.87,1.02,0.91,0.67,0.77,1.0,0.82,1.0,0.98,1.0
