,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.02,0.0,0.42,0.0,0.69,0.38,0.18,0.1,0.14,0.0,0.64,0.2,0.17,0.45,0.34,0.0,0.23
codeblocks.csv,0.59,0.71,0.45,0.23,0.55,0.62,0.57,0.47,0.69,0.47,0.56,0.47,0.77,0.07,0.53,0.34,0.23
grisbi.csv,0.48,0.59,0.51,0.13,0.62,0.58,0.82,0.37,0.32,0.51,0.67,0.63,0.7,0.43,0.58,0.68,0.33
libmesh.csv,0.17,0.0,0.2,0.09,0.22,0.04,0.2,0.05,0.69,0.44,0.0,0.14,0.34,0.49,0.05,0.01,0.4
panda3d.csv,0.2,0.49,0.53,0.52,0.28,0.36,0.58,0.17,0.22,0.59,0.43,0.54,0.43,0.42,0.59,0.52,0.3
proftp.csv,0.17,0.19,0.41,0.09,0.37,0.78,0.37,0.07,0.18,0.0,0.0,0.42,0.11,0.52,0.47,0.24,0.16
red5.csv,0.47,0.53,0.59,0.71,0.47,0.64,0.24,0.64,0.64,0.05,0.24,0.37,0.83,0.36,0.55,0.37,0.45
skia.csv,0.48,0.32,0.62,0.54,0.58,0.72,0.46,0.52,0.26,0.0,0.44,0.48,0.09,0.41,0.67,0.45,0.33
soar.csv,0.29,0.0,0.33,0.27,0.0,0.0,0.0,0.26,0.0,0.0,0.05,0.0,0.0,0.68,0.0,0.0,0.35
super-tux.csv,0.39,0.45,0.6,0.57,0.58,0.59,0.0,0.7,0.66,0.13,0.57,0.57,0.93,0.19,0.49,0.38,0.37
t-2.csv,0.46,0.52,0.39,0.3,0.55,0.12,0.0,0.65,0.58,0.0,0.69,0.46,0.53,0.45,0.29,0.29,0.45
tart.csv,0.33,0.16,0.56,0.5,0.59,0.59,0.8,0.46,0.51,0.3,0.94,0.33,0.42,0.36,0.52,0.05,0.35
tcvp.csv,0.09,0.19,0.04,0.02,0.0,0.0,0.02,0.12,0.0,0.77,0.0,0.0,0.01,0.0,0.11,0.04,0.0
tencompetence.csv,0.47,0.11,0.3,0.22,0.36,0.09,0.15,0.35,0.59,0.0,0.0,0.46,0.44,0.58,0.34,0.24,0.8
utgb.csv,0.06,0.49,0.72,0.34,0.37,0.6,0.43,0.0,0.22,0.56,0.6,0.46,0.49,0.3,0.54,0.52,0.25
xbrlapi.csv,0.67,0.06,0.47,0.52,0.47,0.32,0.55,0.48,0.31,0.0,0.23,0.29,0.01,0.46,0.11,0.0,0.29
zemljanka.csv,0.29,0.64,0.0,0.13,0.58,0.47,0.78,0.0,0.4,0.29,0.64,0.59,0.46,0.17,0.61,0.83,0.3
