,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.07,0.34,0.47,0.0,0.38,0.58,0.46,0.34,0.48,0.33,0.31,0.49,0.59,0.33
elateportal.csv,0.15,0.58,0.44,0.36,0.43,0.71,0.89,0.53,0.4,0.53,1.0,0.57,0.84,0.0
gdis.csv,0.97,0.79,0.83,0.44,0.61,0.62,0.48,0.47,0.4,0.56,0.0,0.51,0.81,0.33
gzigzag.csv,0.03,0.07,0.0,0.0,0.09,0.22,0.21,0.02,0.04,0.13,0.38,0.06,0.0,0.0
icescrum.csv,0.07,0.17,0.32,0.0,0.43,0.15,0.61,0.24,0.04,0.13,0.38,0.29,0.06,0.17
jguard.csv,1.0,0.58,0.62,1.0,0.0,0.58,0.97,0.8,0.4,0.65,0.92,0.82,0.59,0.0
jitterbit.csv,0.24,0.0,0.27,0.56,0.32,0.12,0.5,0.24,0.08,0.16,0.54,0.41,0.28,0.0
jython.csv,0.0,0.26,0.4,0.16,0.71,0.52,0.04,0.35,0.48,0.55,0.15,0.57,0.22,0.17
personalaccess.csv,0.93,0.56,0.58,0.08,0.86,0.81,0.69,0.44,0.04,0.36,0.54,0.31,0.62,0.83
ppcboot.csv,0.89,0.25,0.33,0.16,0.34,0.65,0.02,0.5,0.2,0.33,0.08,0.51,0.38,0.17
repositorium.csv,0.87,0.23,0.51,0.48,0.14,0.07,0.96,0.0,0.56,0.18,0.62,0.35,0.69,0.33
unbvision.csv,0.22,0.14,0.4,0.0,0.21,0.0,0.4,0.01,0.16,0.25,0.46,0.22,0.38,0.17
wxstudio.csv,0.84,0.29,0.42,0.56,0.54,0.8,0.12,0.64,0.36,0.31,0.69,0.02,0.31,0.83
xbg.csv,0.01,0.08,0.11,0.0,0.07,0.06,0.16,0.01,0.04,0.0,0.0,0.1,0.12,0.17
