,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.1,0.88,0.18,0.42,0.29,0.15,0.0,0.23,0.06,0.11,0.3
gbif-providertoolkit.csv,0.61,0.25,0.38,0.52,0.71,0.62,0.92,0.62,0.52,0.62,0.57
geochat.csv,0.19,0.0,0.02,0.26,0.14,0.69,0.78,0.15,0.06,0.33,0.53
heekscad.csv,0.74,0.62,0.59,0.65,0.71,0.85,0.43,0.54,0.83,0.56,0.5
igarden.csv,0.49,0.5,0.27,0.61,0.14,0.77,0.16,0.38,0.33,0.53,0.03
jstock.csv,0.65,0.38,0.7,0.71,0.64,0.92,0.29,0.85,0.46,0.6,0.33
levent.csv,0.51,0.0,0.0,0.0,0.86,0.92,0.71,0.38,0.0,0.0,0.0
piccolo2d.csv,0.14,0.0,0.38,0.06,0.64,0.85,0.49,0.38,0.21,0.44,0.17
pnotepad.csv,0.62,0.88,0.88,1.0,0.86,1.0,0.67,0.92,0.9,0.58,0.73
trinitycore.csv,0.48,0.62,0.46,0.65,0.29,0.69,0.06,0.54,0.35,0.56,0.2
xcsoar.csv,0.65,0.25,0.71,0.61,0.71,0.85,0.29,0.54,0.27,0.47,0.33
